City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,Boca Do Acre,-8.7522,-67.3978,71.19,96,99,1.77,BR,2022-03-09 07:22:08
121,Iqaluit,63.7506,-68.5145,-15.07,76,75,10.36,CA,2022-03-09 07:22:09
122,Sakakah,29.9697,40.2064,76.57,18,51,8.32,SA,2022-03-09 07:22:09
123,Sarankhola,22.3082,89.7897,95.47,16,0,5.84,BD,2022-03-09 07:22:10
124,Alexandria,31.2156,29.9553,59.52,73,1,9.26,EG,2022-03-09 07:21:23
125,Fort Payne,34.4442,-85.7197,49.91,72,100,3.44,US,2022-03-09 07:22:11
126,Beringovskiy,63.05,179.3167,10.92,98,77,9.13,RU,2022-03-09 07:22:11
127,Dondo,-19.6094,34.7431,83.71,60,90,7.05,MZ,2022-03-09 07:22:12
128,Carauari,-4.8828,-66.8958,71.24,99,100,1.63,BR,2022-03-09 07:22:13
129,Nhulunbuy,-12.2333,136.7667,92.01,58,91,8.05,AU,2022-03-09 07:22:13
130,Yumen,40.2833,97.2,60.58,14,4,11.59,CN,2022-03-09 07:22:14
131,Saskylakh,71.9167,114.0833,-14.37,98,28,3.83,RU,2022-03-09 07:22:14
132,Escarcega,18.6089,-90.7454,72.37,81,55,4.56,MX,2022-03-09 07:23:15
133,Rawson,-43.3002,-65.1023,56.28,37,0,30.13,AR,2022-03-09 07:23:15
134,Baherden,38.4362,57.4316,61.29,46,0,5.14,TM,2022-03-09 07:23:16
135,Narsaq,60.9167,-46.05,5.22,68,3,7.99,GL,2022-03-09 07:23:16
136,Okato,-39.2,173.8833,65.68,85,1,8.46,NZ,2022-03-09 07:23:17
137,Mar Del Plata,-38.0023,-57.5575,64.42,72,0,5.75,AR,2022-03-09 07:23:03
138,Katsuura,35.1333,140.3,51.91,60,100,13.85,JP,2022-03-09 07:20:32
139,Isangel,-19.55,169.2667,80.8,76,22,6.98,VU,2022-03-09 07:23:18
140,Khatanga,71.9667,102.5,3.78,83,100,12.28,RU,2022-03-09 07:23:19
141,Bulgan,48.8125,103.5347,37.92,42,0,6.42,MN,2022-03-09 07:23:19
