City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
113,Luderitz,NA,-26.6481,15.1594,62.51,60,0,15.82,clear sky
114,Batagay-Alyta,RU,67.8006,130.4114,-0.81,77,99,2.17,overcast clouds
115,Nouadhibou,MR,20.931,-17.0347,60.78,72,0,26.46,clear sky
116,Vila,PT,42.0304,-8.1588,45.7,85,94,4.0,overcast clouds
117,Narsaq,GL,60.9167,-46.05,-0.18,70,79,7.67,broken clouds
118,Udachnyy,RU,66.4167,112.4,0.45,64,97,6.08,overcast clouds
119,Norman Wells,CA,65.282,-126.8329,-12.96,64,75,3.44,broken clouds
120,Kavaratti,IN,10.5669,72.642,83.39,69,78,8.59,broken clouds
121,Wagar,SD,16.1525,36.2032,68.88,56,5,19.57,clear sky
122,Grand Gaube,MU,-20.0064,57.6608,84.6,81,71,3.0,light rain
123,Turukhansk,RU,65.8167,87.9833,9.54,86,100,6.85,overcast clouds
124,Kolda,SN,12.8833,-14.95,67.59,27,24,4.36,few clouds
125,Itupiranga,BR,-5.1347,-49.3267,73.72,98,99,2.42,overcast clouds
126,Springfield,US,37.2153,-93.2982,51.98,89,0,0.0,clear sky
127,Meulaboh,ID,4.1363,96.1285,85.03,68,93,5.99,overcast clouds
128,Olafsvik,IS,64.8945,-23.7142,30.81,64,99,31.81,light snow
129,Khatanga,RU,71.9667,102.5,-3.91,90,32,6.04,scattered clouds
130,Nanortalik,GL,60.1432,-45.2371,3.51,80,100,11.1,light snow
131,Port Hardy,CA,50.6996,-127.4199,44.6,93,75,5.75,light intensity shower rain
132,Kapaa,US,22.0752,-159.319,73.72,76,75,9.22,broken clouds
133,Jamestown,US,42.097,-79.2353,38.84,70,0,3.44,clear sky
134,Afua,BR,-0.1567,-50.3867,72.14,97,100,3.47,overcast clouds
135,Bengkulu,ID,-3.8004,102.2655,86.16,62,98,7.65,overcast clouds
136,Laguna,US,38.421,-121.4238,59.14,87,0,4.61,clear sky
137,Dikson,RU,73.5069,80.5464,14.25,97,96,1.16,overcast clouds
138,Hervey Bay,AU,-25.2986,152.8535,77.02,77,100,8.99,overcast clouds
139,Faanui,PF,-16.4833,-151.75,82.26,69,52,9.31,broken clouds
140,Kaitangata,NZ,-46.2817,169.8464,53.53,73,100,10.13,overcast clouds
141,Sola,VU,-13.8833,167.55,79.47,89,100,0.0,heavy intensity rain
142,Lipari,IT,38.4674,14.954,54.0,72,1,2.04,clear sky
143,Saint-Louis,SN,16.3333,-15.0,65.39,37,1,12.75,clear sky
144,Mount Gambier,AU,-37.8333,140.7667,82.71,43,99,8.48,overcast clouds
145,Castro,BR,-24.7911,-50.0119,63.91,99,98,6.89,overcast clouds
146,Terenos,BR,-20.4422,-54.8603,67.71,82,0,4.61,clear sky
147,Sarai Naurang,PK,32.8259,70.7814,89.67,26,0,2.21,clear sky
148,Vardo,NO,70.3705,31.1107,29.14,81,8,25.34,clear sky
149,Aldan,RU,58.6031,125.3894,3.29,91,100,12.03,light snow
150,Jenjarom,MY,2.8766,101.4988,91.54,61,82,5.57,broken clouds
151,Mayo,US,38.8876,-76.5119,55.56,66,0,0.0,clear sky
152,Leh,IN,34.1667,77.5833,26.44,68,14,2.91,few clouds
153,Vermilion,US,40.1667,-87.7506,47.59,83,1,4.63,clear sky
154,Surman,LY,32.7567,12.5716,56.44,39,4,14.05,clear sky
155,Morgan City,US,29.6994,-91.2068,59.0,88,0,5.75,clear sky
156,Asau,RO,46.4333,26.4,36.95,63,91,1.39,overcast clouds
157,Abagur,RU,53.7308,87.2526,24.22,88,100,2.59,light snow
158,Guerrero Negro,MX,27.9769,-114.0611,59.59,88,27,10.65,scattered clouds
159,West Wendover,US,40.7391,-114.0733,38.41,81,20,3.44,few clouds
160,Sinnamary,GF,5.3833,-52.95,75.78,89,97,9.17,overcast clouds
161,Hobart,AU,-42.8794,147.3294,72.23,74,75,17.27,broken clouds
162,Urumqi,CN,43.801,87.6005,38.35,87,75,2.24,broken clouds
163,San Andres,CO,12.5847,-81.7006,80.62,74,20,12.66,few clouds
